時間戳記,電燈狀態,溫度,濕度
2025-11-29 14:22:06,關,26.66,57.86
2025-11-29 14:27:06,開,25.47,63.15
2025-11-29 14:32:06,關,25.29,62.35
2025-11-29 14:37:06,開,29.08,61.83
2025-11-29 14:42:06,關,28.1,65.25
2025-11-29 14:47:06,開,25.16,66.96
2025-11-29 14:52:06,開,26.92,64.69
2025-11-29 14:57:06,開,28.89,65.09
2025-11-29 15:02:06,關,31.03,60.64
2025-11-29 15:07:06,關,26.86,61.73
2025-11-29 15:12:06,開,24.43,58.23
2025-11-29 15:17:06,關,27.24,63.03
2025-11-29 15:22:06,開,26.18,59.74
2025-11-29 15:27:06,關,26.68,61.73
2025-11-29 15:32:06,開,27.43,60.15
2025-11-29 15:37:06,關,26.61,68.19
2025-11-29 15:42:06,關,30.19,58.9
2025-11-29 15:47:06,關,27.69,59.39
2025-11-29 15:52:06,關,27.94,59.59
2025-11-29 15:57:06,關,28.63,66.86
2025-11-29 16:02:06,關,22.6,60.83
2025-11-29 16:07:06,關,23.63,62.79
2025-11-29 16:12:06,開,26.35,64.43
2025-11-29 16:17:06,關,25.85,70.38
2025-11-29 16:22:06,關,27.5,57.11
2025-11-29 16:27:06,開,26.28,61.84
2025-11-29 16:32:06,關,25.83,57.45
2025-11-29 16:37:06,關,29.51,64.51
2025-11-29 16:42:06,關,27.79,59.26
2025-11-29 16:47:06,開,32.17,64.77
2025-11-29 16:52:06,關,26.61,65.7
2025-11-29 16:57:06,關,24.11,63.11
2025-11-29 17:02:06,關,23.81,64.53
2025-11-29 17:07:06,開,27.54,57.73
2025-11-29 17:12:06,關,25.24,56.71
2025-11-29 17:17:06,關,30.21,63.82
2025-11-29 17:22:06,關,29.88,60.83
2025-11-29 17:27:06,開,25.84,63.0
2025-11-29 17:32:06,關,26.85,66.13
2025-11-29 17:37:06,關,30.62,68.5
2025-11-29 17:42:06,關,25.19,55.78
2025-11-29 17:47:06,關,23.3,59.72
2025-11-29 17:52:06,關,23.71,60.91
2025-11-29 17:57:06,關,29.12,59.9
2025-11-29 18:02:06,開,26.55,64.6
2025-11-29 18:07:06,關,24.73,64.02
2025-11-29 18:12:06,關,25.44,59.92
2025-11-29 18:17:06,關,28.72,61.46
2025-11-29 18:22:06,關,31.45,60.43
2025-11-29 18:27:06,關,32.13,65.2
2025-11-30 15:22:15,開,16.43,53.27
2025-11-30 15:22:17,關,25.99,47.41
2025-11-30 15:22:19,開,27.8,59.09
2025-11-30 15:22:21,關,17.78,66.25
2025-11-30 15:22:23,開,22.38,48.0
2025-11-30 15:22:25,關,15.61,61.57
2025-11-30 15:22:27,開,29.69,64.29
2025-11-30 15:22:29,關,23.53,67.39
2025-11-30 15:22:31,開,19.99,57.45
2025-11-30 15:22:33,關,22.45,56.52
